ID,GRIDCODE,ZONE
3463,10,5b: -15 to -10 F
3464,12,6b: -5 to 0 F
3465,11,6a: -10 to -5 F
3466,10,5b: -15 to -10 F
3467,12,6b: -5 to 0 F
3468,11,6a: -10 to -5 F
3469,10,5b: -15 to -10 F
3470,11,6a: -10 to -5 F
3471,10,5b: -15 to -10 F
3472,12,6b: -5 to 0 F
3473,10,5b: -15 to -10 F
3474,10,5b: -15 to -10 F
3475,11,6a: -10 to -5 F
3476,11,6a: -10 to -5 F
3477,11,6a: -10 to -5 F
3478,9,5a: -20 to -15 F
3479,9,5a: -20 to -15 F
3480,9,5a: -20 to -15 F
3481,11,6a: -10 to -5 F
3482,11,6a: -10 to -5 F
3483,9,5a: -20 to -15 F
3484,9,5a: -20 to -15 F
3485,10,5b: -15 to -10 F
3486,8,4b: -25 to -20 F
3487,9,5a: -20 to -15 F
3488,7,4a: -30 to -25 F
3489,8,4b: -25 to -20 F
3490,7,4a: -30 to -25 F
3491,8,4b: -25 to -20 F
3492,8,4b: -25 to -20 F
3493,7,4a: -30 to -25 F
3494,15,8a: 10 to 15 F
3495,14,7b: 5 to 10 F
3496,13,7a: 0 to 5 F
3497,14,7b: 5 to 10 F
3498,13,7a: 0 to 5 F
3499,13,7a: 0 to 5 F
3500,12,6b: -5 to 0 F
3501,14,7b: 5 to 10 F
3502,14,7b: 5 to 10 F
3503,13,7a: 0 to 5 F
3504,11,6a: -10 to -5 F
3505,11,6a: -10 to -5 F
3506,10,5b: -15 to -10 F
3507,9,5a: -20 to -15 F
3508,10,5b: -15 to -10 F
3509,12,6b: -5 to 0 F
3510,10,5b: -15 to -10 F
3511,9,5a: -20 to -15 F
3512,10,5b: -15 to -10 F
3513,10,5b: -15 to -10 F
3514,10,5b: -15 to -10 F
3515,10,5b: -15 to -10 F
3516,12,6b: -5 to 0 F
3517,10,5b: -15 to -10 F
3518,12,6b: -5 to 0 F
3519,12,6b: -5 to 0 F
3520,11,6a: -10 to -5 F
3521,9,5a: -20 to -15 F
3522,9,5a: -20 to -15 F
3523,11,6a: -10 to -5 F
3524,9,5a: -20 to -15 F
3525,11,6a: -10 to -5 F
3526,10,5b: -15 to -10 F
3527,11,6a: -10 to -5 F
3528,9,5a: -20 to -15 F
3529,9,5a: -20 to -15 F
3530,9,5a: -20 to -15 F
3531,10,5b: -15 to -10 F
3532,8,4b: -25 to -20 F
3533,9,5a: -20 to -15 F
3534,8,4b: -25 to -20 F
3535,9,5a: -20 to -15 F
3536,7,4a: -30 to -25 F
3537,7,4a: -30 to -25 F
3538,7,4a: -30 to -25 F
3539,6,3b: -35 to -30 F
3540,8,4b: -25 to -20 F
3541,7,4a: -30 to -25 F
3542,7,4a: -30 to -25 F
3543,6,3b: -35 to -30 F
3544,13,7a: 0 to 5 F
3545,13,7a: 0 to 5 F
3546,12,6b: -5 to 0 F
3547,12,6b: -5 to 0 F
3548,12,6b: -5 to 0 F
3549,12,6b: -5 to 0 F
3550,10,5b: -15 to -10 F
3551,10,5b: -15 to -10 F
3552,10,5b: -15 to -10 F
3553,12,6b: -5 to 0 F
3554,11,6a: -10 to -5 F
3555,12,6b: -5 to 0 F
3556,12,6b: -5 to 0 F
3557,10,5b: -15 to -10 F
3558,10,5b: -15 to -10 F
3559,8,4b: -25 to -20 F
3560,9,5a: -20 to -15 F
3561,10,5b: -15 to -10 F
3562,9,5a: -20 to -15 F
3563,9,5a: -20 to -15 F
3564,11,6a: -10 to -5 F
3565,9,5a: -20 to -15 F
3566,10,5b: -15 to -10 F
3567,9,5a: -20 to -15 F
3568,9,5a: -20 to -15 F
3569,11,6a: -10 to -5 F
3570,9,5a: -20 to -15 F
3571,9,5a: -20 to -15 F
3572,9,5a: -20 to -15 F
3573,9,5a: -20 to -15 F
3574,9,5a: -20 to -15 F
3575,8,4b: -25 to -20 F
3576,9,5a: -20 to -15 F
3577,9,5a: -20 to -15 F
3578,9,5a: -20 to -15 F
3579,9,5a: -20 to -15 F
3580,9,5a: -20 to -15 F
3581,8,4b: -25 to -20 F
3582,8,4b: -25 to -20 F
3583,7,4a: -30 to -25 F
3584,6,3b: -35 to -30 F
3585,17,9a: 20 to 25 F
3586,16,8b: 15 to 20 F
3587,14,7b: 5 to 10 F
3588,14,7b: 5 to 10 F
3589,13,7a: 0 to 5 F
3590,13,7a: 0 to 5 F
3591,10,5b: -15 to -10 F
3592,11,6a: -10 to -5 F
3593,10,5b: -15 to -10 F
3594,10,5b: -15 to -10 F
3595,12,6b: -5 to 0 F
3596,12,6b: -5 to 0 F
3597,10,5b: -15 to -10 F
3598,10,5b: -15 to -10 F
3599,9,5a: -20 to -15 F
3600,9,5a: -20 to -15 F
3601,10,5b: -15 to -10 F
3602,9,5a: -20 to -15 F
3603,11,6a: -10 to -5 F
3604,10,5b: -15 to -10 F
3605,11,6a: -10 to -5 F
3606,8,4b: -25 to -20 F
3607,10,5b: -15 to -10 F
3608,8,4b: -25 to -20 F
3609,8,4b: -25 to -20 F
3610,6,3b: -35 to -30 F
3611,8,4b: -25 to -20 F
3612,6,3b: -35 to -30 F
3613,16,8b: 15 to 20 F
3614,14,7b: 5 to 10 F
3615,14,7b: 5 to 10 F
3616,12,6b: -5 to 0 F
3617,13,7a: 0 to 5 F
3618,13,7a: 0 to 5 F
3619,12,6b: -5 to 0 F
3620,11,6a: -10 to -5 F
3621,12,6b: -5 to 0 F
3622,13,7a: 0 to 5 F
3623,12,6b: -5 to 0 F
3624,12,6b: -5 to 0 F
3625,12,6b: -5 to 0 F
3626,12,6b: -5 to 0 F
3627,11,6a: -10 to -5 F
3628,9,5a: -20 to -15 F
3629,10,5b: -15 to -10 F
3630,11,6a: -10 to -5 F
3631,9,5a: -20 to -15 F
3632,9,5a: -20 to -15 F
3633,11,6a: -10 to -5 F
3634,11,6a: -10 to -5 F
3635,11,6a: -10 to -5 F
3636,9,5a: -20 to -15 F
3637,10,5b: -15 to -10 F
3638,10,5b: -15 to -10 F
3639,9,5a: -20 to -15 F
3640,9,5a: -20 to -15 F
3641,9,5a: -20 to -15 F
3642,8,4b: -25 to -20 F
3643,8,4b: -25 to -20 F
3644,8,4b: -25 to -20 F
3645,8,4b: -25 to -20 F
3646,7,4a: -30 to -25 F
3647,8,4b: -25 to -20 F
3648,8,4b: -25 to -20 F
3649,8,4b: -25 to -20 F
3650,6,3b: -35 to -30 F
3651,8,4b: -25 to -20 F
3652,7,4a: -30 to -25 F
3653,16,8b: 15 to 20 F
3654,16,8b: 15 to 20 F
3655,14,7b: 5 to 10 F
3656,13,7a: 0 to 5 F
3657,14,7b: 5 to 10 F
3658,14,7b: 5 to 10 F
3659,15,8a: 10 to 15 F
3660,14,7b: 5 to 10 F
3661,11,6a: -10 to -5 F
3662,13,7a: 0 to 5 F
3663,13,7a: 0 to 5 F
3664,12,6b: -5 to 0 F
3665,10,5b: -15 to -10 F
3666,12,6b: -5 to 0 F
3667,10,5b: -15 to -10 F
3668,11,6a: -10 to -5 F
3669,12,6b: -5 to 0 F
3670,10,5b: -15 to -10 F
3671,9,5a: -20 to -15 F
3672,10,5b: -15 to -10 F
3673,10,5b: -15 to -10 F
3674,9,5a: -20 to -15 F
3675,12,6b: -5 to 0 F
3676,10,5b: -15 to -10 F
3677,12,6b: -5 to 0 F
3678,12,6b: -5 to 0 F
3679,13,7a: 0 to 5 F
3680,11,6a: -10 to -5 F
3681,9,5a: -20 to -15 F
3682,10,5b: -15 to -10 F
3683,11,6a: -10 to -5 F
3684,9,5a: -20 to -15 F
3685,9,5a: -20 to -15 F
3686,11,6a: -10 to -5 F
3687,11,6a: -10 to -5 F
3688,10,5b: -15 to -10 F
3689,9,5a: -20 to -15 F
3690,8,4b: -25 to -20 F
3691,8,4b: -25 to -20 F
3692,9,5a: -20 to -15 F
3693,7,4a: -30 to -25 F
3694,8,4b: -25 to -20 F
3695,8,4b: -25 to -20 F
3696,7,4a: -30 to -25 F
3697,6,3b: -35 to -30 F
3698,7,4a: -30 to -25 F
3699,8,4b: -25 to -20 F
3700,6,3b: -35 to -30 F
3701,6,3b: -35 to -30 F
3702,6,3b: -35 to -30 F
3703,14,7b: 5 to 10 F
3704,15,8a: 10 to 15 F
3705,15,8a: 10 to 15 F
3706,12,6b: -5 to 0 F
3707,14,7b: 5 to 10 F
3708,14,7b: 5 to 10 F
3709,13,7a: 0 to 5 F
3710,11,6a: -10 to -5 F
3711,12,6b: -5 to 0 F
3712,12,6b: -5 to 0 F
3713,11,6a: -10 to -5 F
3714,11,6a: -10 to -5 F
3715,12,6b: -5 to 0 F
3716,10,5b: -15 to -10 F
3717,10,5b: -15 to -10 F
3718,10,5b: -15 to -10 F
3719,9,5a: -20 to -15 F
3720,10,5b: -15 to -10 F
3721,12,6b: -5 to 0 F
3722,11,6a: -10 to -5 F
3723,12,6b: -5 to 0 F
3724,10,5b: -15 to -10 F
3725,9,5a: -20 to -15 F
3726,9,5a: -20 to -15 F
3727,10,5b: -15 to -10 F
3728,9,5a: -20 to -15 F
3729,11,6a: -10 to -5 F
3730,11,6a: -10 to -5 F
3731,9,5a: -20 to -15 F
3732,11,6a: -10 to -5 F
3733,10,5b: -15 to -10 F
3734,11,6a: -10 to -5 F
3735,10,5b: -15 to -10 F
3736,9,5a: -20 to -15 F
3737,10,5b: -15 to -10 F
3738,7,4a: -30 to -25 F
3739,7,4a: -30 to -25 F
3740,8,4b: -25 to -20 F
3741,6,3b: -35 to -30 F
3742,8,4b: -25 to -20 F
3743,7,4a: -30 to -25 F
3744,6,3b: -35 to -30 F
3745,8,4b: -25 to -20 F
3746,7,4a: -30 to -25 F
3747,7,4a: -30 to -25 F
3748,16,8b: 15 to 20 F
3749,16,8b: 15 to 20 F
3750,13,7a: 0 to 5 F
3751,13,7a: 0 to 5 F
3752,11,6a: -10 to -5 F
3753,10,5b: -15 to -10 F
3754,11,6a: -10 to -5 F
3755,10,5b: -15 to -10 F
3756,10,5b: -15 to -10 F
3757,9,5a: -20 to -15 F
3758,10,5b: -15 to -10 F
3759,10,5b: -15 to -10 F
3760,11,6a: -10 to -5 F
3761,11,6a: -10 to -5 F
3762,12,6b: -5 to 0 F
3763,10,5b: -15 to -10 F
3764,10,5b: -15 to -10 F
3765,10,5b: -15 to -10 F
3766,12,6b: -5 to 0 F
3767,12,6b: -5 to 0 F
3768,10,5b: -15 to -10 F
3769,10,5b: -15 to -10 F
3770,10,5b: -15 to -10 F
3771,10,5b: -15 to -10 F
3772,11,6a: -10 to -5 F
3773,10,5b: -15 to -10 F
3774,9,5a: -20 to -15 F
3775,10,5b: -15 to -10 F
3776,11,6a: -10 to -5 F
3777,11,6a: -10 to -5 F
3778,11,6a: -10 to -5 F
3779,9,5a: -20 to -15 F
3780,11,6a: -10 to -5 F
3781,11,6a: -10 to -5 F
3782,8,4b: -25 to -20 F
3783,8,4b: -25 to -20 F
3784,7,4a: -30 to -25 F
3785,8,4b: -25 to -20 F
3786,8,4b: -25 to -20 F
3787,9,5a: -20 to -15 F
3788,9,5a: -20 to -15 F
3789,7,4a: -30 to -25 F
3790,8,4b: -25 to -20 F
3791,8,4b: -25 to -20 F
3792,8,4b: -25 to -20 F
3793,7,4a: -30 to -25 F
3794,8,4b: -25 to -20 F
3795,6,3b: -35 to -30 F
3796,6,3b: -35 to -30 F
3797,16,8b: 15 to 20 F
3798,15,8a: 10 to 15 F
3799,15,8a: 10 to 15 F
3800,14,7b: 5 to 10 F
3801,12,6b: -5 to 0 F
3802,11,6a: -10 to -5 F
3803,12,6b: -5 to 0 F
3804,12,6b: -5 to 0 F
3805,13,7a: 0 to 5 F
3806,14,7b: 5 to 10 F
3807,13,7a: 0 to 5 F
3808,12,6b: -5 to 0 F
3809,10,5b: -15 to -10 F
3810,12,6b: -5 to 0 F
3811,10,5b: -15 to -10 F
3812,9,5a: -20 to -15 F
3813,10,5b: -15 to -10 F
3814,12,6b: -5 to 0 F
3815,11,6a: -10 to -5 F
3816,10,5b: -15 to -10 F
3817,11,6a: -10 to -5 F
3818,10,5b: -15 to -10 F
3819,12,6b: -5 to 0 F
3820,10,5b: -15 to -10 F
3821,10,5b: -15 to -10 F
3822,10,5b: -15 to -10 F
3823,9,5a: -20 to -15 F
3824,11,6a: -10 to -5 F
3825,11,6a: -10 to -5 F
3826,10,5b: -15 to -10 F
3827,11,6a: -10 to -5 F
3828,9,5a: -20 to -15 F
3829,8,4b: -25 to -20 F
3830,8,4b: -25 to -20 F
3831,8,4b: -25 to -20 F
3832,10,5b: -15 to -10 F
3833,8,4b: -25 to -20 F
3834,9,5a: -20 to -15 F
3835,7,4a: -30 to -25 F
3836,8,4b: -25 to -20 F
3837,8,4b: -25 to -20 F
3838,7,4a: -30 to -25 F
3839,6,3b: -35 to -30 F
3840,7,4a: -30 to -25 F
3841,5,3a: -40 to -35 F
3842,6,3b: -35 to -30 F
3843,13,7a: 0 to 5 F
3844,15,8a: 10 to 15 F
3845,15,8a: 10 to 15 F
3846,14,7b: 5 to 10 F
3847,12,6b: -5 to 0 F
3848,13,7a: 0 to 5 F
3849,11,6a: -10 to -5 F
3850,10,5b: -15 to -10 F
3851,11,6a: -10 to -5 F
3852,13,7a: 0 to 5 F
3853,12,6b: -5 to 0 F
3854,12,6b: -5 to 0 F
3855,11,6a: -10 to -5 F
3856,12,6b: -5 to 0 F
3857,12,6b: -5 to 0 F
3858,10,5b: -15 to -10 F
3859,12,6b: -5 to 0 F
3860,12,6b: -5 to 0 F
3861,11,6a: -10 to -5 F
3862,10,5b: -15 to -10 F
3863,11,6a: -10 to -5 F
3864,11,6a: -10 to -5 F
3865,10,5b: -15 to -10 F
3866,11,6a: -10 to -5 F
3867,9,5a: -20 to -15 F
3868,11,6a: -10 to -5 F
3869,10,5b: -15 to -10 F
3870,11,6a: -10 to -5 F
3871,9,5a: -20 to -15 F
3872,9,5a: -20 to -15 F
3873,11,6a: -10 to -5 F
3874,12,6b: -5 to 0 F
3875,10,5b: -15 to -10 F
3876,9,5a: -20 to -15 F
3877,8,4b: -25 to -20 F
3878,8,4b: -25 to -20 F
3879,7,4a: -30 to -25 F
3880,8,4b: -25 to -20 F
3881,8,4b: -25 to -20 F
3882,8,4b: -25 to -20 F
3883,8,4b: -25 to -20 F
3884,8,4b: -25 to -20 F
3885,6,3b: -35 to -30 F
3886,6,3b: -35 to -30 F
3887,6,3b: -35 to -30 F
3888,7,4a: -30 to -25 F
3889,6,3b: -35 to -30 F
3890,16,8b: 15 to 20 F
3891,16,8b: 15 to 20 F
3892,14,7b: 5 to 10 F
3893,13,7a: 0 to 5 F
3894,15,8a: 10 to 15 F
3895,14,7b: 5 to 10 F
3896,11,6a: -10 to -5 F
3897,12,6b: -5 to 0 F
3898,13,7a: 0 to 5 F
3899,14,7b: 5 to 10 F
3900,10,5b: -15 to -10 F
3901,12,6b: -5 to 0 F
3902,12,6b: -5 to 0 F
3903,12,6b: -5 to 0 F
3904,11,6a: -10 to -5 F
3905,12,6b: -5 to 0 F
3906,9,5a: -20 to -15 F
3907,9,5a: -20 to -15 F
3908,9,5a: -20 to -15 F
3909,11,6a: -10 to -5 F
3910,10,5b: -15 to -10 F
3911,9,5a: -20 to -15 F
3912,10,5b: -15 to -10 F
3913,9,5a: -20 to -15 F
3914,9,5a: -20 to -15 F
3915,8,4b: -25 to -20 F
3916,8,4b: -25 to -20 F
3917,10,5b: -15 to -10 F
3918,9,5a: -20 to -15 F
3919,9,5a: -20 to -15 F
3920,8,4b: -25 to -20 F
3921,9,5a: -20 to -15 F
3922,7,4a: -30 to -25 F
3923,7,4a: -30 to -25 F
3924,8,4b: -25 to -20 F
3925,6,3b: -35 to -30 F
3926,8,4b: -25 to -20 F
3927,8,4b: -25 to -20 F
3928,7,4a: -30 to -25 F
3929,6,3b: -35 to -30 F
3930,7,4a: -30 to -25 F
3931,13,7a: 0 to 5 F
3932,15,8a: 10 to 15 F
3933,12,6b: -5 to 0 F
3934,12,6b: -5 to 0 F
3935,11,6a: -10 to -5 F
3936,11,6a: -10 to -5 F
3937,11,6a: -10 to -5 F
3938,12,6b: -5 to 0 F
3939,11,6a: -10 to -5 F
3940,11,6a: -10 to -5 F
3941,12,6b: -5 to 0 F
3942,10,5b: -15 to -10 F
3943,11,6a: -10 to -5 F
3944,10,5b: -15 to -10 F
3945,11,6a: -10 to -5 F
3946,11,6a: -10 to -5 F
3947,9,5a: -20 to -15 F
3948,9,5a: -20 to -15 F
3949,10,5b: -15 to -10 F
3950,9,5a: -20 to -15 F
3951,10,5b: -15 to -10 F
3952,10,5b: -15 to -10 F
3953,9,5a: -20 to -15 F
3954,10,5b: -15 to -10 F
3955,10,5b: -15 to -10 F
3956,9,5a: -20 to -15 F
3957,7,4a: -30 to -25 F
3958,8,4b: -25 to -20 F
3959,8,4b: -25 to -20 F
3960,8,4b: -25 to -20 F
3961,7,4a: -30 to -25 F
3962,7,4a: -30 to -25 F
3963,7,4a: -30 to -25 F
3964,7,4a: -30 to -25 F
3965,7,4a: -30 to -25 F
3966,6,3b: -35 to -30 F
3967,17,9a: 20 to 25 F
3968,15,8a: 10 to 15 F
3969,16,8b: 15 to 20 F
3970,13,7a: 0 to 5 F
3971,13,7a: 0 to 5 F
3972,15,8a: 10 to 15 F
3973,14,7b: 5 to 10 F
3974,11,6a: -10 to -5 F
3975,10,5b: -15 to -10 F
3976,10,5b: -15 to -10 F
3977,10,5b: -15 to -10 F
3978,12,6b: -5 to 0 F
3979,12,6b: -5 to 0 F
3980,10,5b: -15 to -10 F
3981,12,6b: -5 to 0 F
3982,12,6b: -5 to 0 F
3983,12,6b: -5 to 0 F
3984,10,5b: -15 to -10 F
3985,10,5b: -15 to -10 F
3986,9,5a: -20 to -15 F
3987,9,5a: -20 to -15 F
3988,10,5b: -15 to -10 F
3989,10,5b: -15 to -10 F
3990,11,6a: -10 to -5 F
3991,12,6b: -5 to 0 F
3992,9,5a: -20 to -15 F
3993,11,6a: -10 to -5 F
3994,9,5a: -20 to -15 F
3995,10,5b: -15 to -10 F
3996,9,5a: -20 to -15 F
3997,10,5b: -15 to -10 F
3998,8,4b: -25 to -20 F
3999,8,4b: -25 to -20 F
4000,10,5b: -15 to -10 F
4001,9,5a: -20 to -15 F
4002,10,5b: -15 to -10 F
4003,9,5a: -20 to -15 F
4004,7,4a: -30 to -25 F
4005,9,5a: -20 to -15 F
4006,9,5a: -20 to -15 F
4007,9,5a: -20 to -15 F
4008,7,4a: -30 to -25 F
4009,7,4a: -30 to -25 F
4010,8,4b: -25 to -20 F
4011,8,4b: -25 to -20 F
4012,8,4b: -25 to -20 F
4013,6,3b: -35 to -30 F
4014,14,7b: 5 to 10 F
4015,15,8a: 10 to 15 F
4016,16,8b: 15 to 20 F
4017,16,8b: 15 to 20 F
4018,13,7a: 0 to 5 F
4019,15,8a: 10 to 15 F
4020,13,7a: 0 to 5 F
4021,11,6a: -10 to -5 F
4022,12,6b: -5 to 0 F
4023,10,5b: -15 to -10 F
4024,10,5b: -15 to -10 F
4025,10,5b: -15 to -10 F
4026,10,5b: -15 to -10 F
4027,10,5b: -15 to -10 F
4028,10,5b: -15 to -10 F
4029,12,6b: -5 to 0 F
4030,11,6a: -10 to -5 F
4031,12,6b: -5 to 0 F
4032,10,5b: -15 to -10 F
4033,11,6a: -10 to -5 F
4034,9,5a: -20 to -15 F
4035,11,6a: -10 to -5 F
4036,9,5a: -20 to -15 F
4037,8,4b: -25 to -20 F
4038,8,4b: -25 to -20 F
4039,10,5b: -15 to -10 F
4040,9,5a: -20 to -15 F
4041,8,4b: -25 to -20 F
4042,9,5a: -20 to -15 F
4043,8,4b: -25 to -20 F
4044,7,4a: -30 to -25 F
4045,8,4b: -25 to -20 F
4046,7,4a: -30 to -25 F
4047,6,3b: -35 to -30 F
4048,6,3b: -35 to -30 F
4049,6,3b: -35 to -30 F
4050,6,3b: -35 to -30 F
4051,14,7b: 5 to 10 F
4052,14,7b: 5 to 10 F
4053,16,8b: 15 to 20 F
4054,14,7b: 5 to 10 F
4055,11,6a: -10 to -5 F
4056,9,5a: -20 to -15 F
4057,10,5b: -15 to -10 F
4058,10,5b: -15 to -10 F
4059,10,5b: -15 to -10 F
4060,10,5b: -15 to -10 F
4061,12,6b: -5 to 0 F
4062,12,6b: -5 to 0 F
4063,9,5a: -20 to -15 F
4064,9,5a: -20 to -15 F
4065,10,5b: -15 to -10 F
4066,12,6b: -5 to 0 F
4067,12,6b: -5 to 0 F
4068,10,5b: -15 to -10 F
4069,11,6a: -10 to -5 F
4070,11,6a: -10 to -5 F
4071,11,6a: -10 to -5 F
4072,10,5b: -15 to -10 F
4073,11,6a: -10 to -5 F
4074,11,6a: -10 to -5 F
4075,9,5a: -20 to -15 F
4076,9,5a: -20 to -15 F
4077,10,5b: -15 to -10 F
4078,9,5a: -20 to -15 F
4079,10,5b: -15 to -10 F
4080,11,6a: -10 to -5 F
4081,10,5b: -15 to -10 F
4082,11,6a: -10 to -5 F
4083,9,5a: -20 to -15 F
4084,11,6a: -10 to -5 F
4085,11,6a: -10 to -5 F
4086,9,5a: -20 to -15 F
4087,10,5b: -15 to -10 F
4088,9,5a: -20 to -15 F
4089,10,5b: -15 to -10 F
4090,9,5a: -20 to -15 F
4091,9,5a: -20 to -15 F
4092,8,4b: -25 to -20 F
4093,8,4b: -25 to -20 F
4094,8,4b: -25 to -20 F
4095,8,4b: -25 to -20 F
4096,8,4b: -25 to -20 F
4097,8,4b: -25 to -20 F
4098,6,3b: -35 to -30 F
4099,6,3b: -35 to -30 F
4100,8,4b: -25 to -20 F
4101,6,3b: -35 to -30 F
4102,7,4a: -30 to -25 F
4103,7,4a: -30 to -25 F
4104,6,3b: -35 to -30 F
4105,6,3b: -35 to -30 F
4106,7,4a: -30 to -25 F
4107,7,4a: -30 to -25 F
4108,7,4a: -30 to -25 F
4109,14,7b: 5 to 10 F
4110,14,7b: 5 to 10 F
4111,12,6b: -5 to 0 F
4112,11,6a: -10 to -5 F
4113,12,6b: -5 to 0 F
4114,12,6b: -5 to 0 F
4115,12,6b: -5 to 0 F
4116,12,6b: -5 to 0 F
4117,10,5b: -15 to -10 F
4118,10,5b: -15 to -10 F
4119,10,5b: -15 to -10 F
4120,10,5b: -15 to -10 F
4121,9,5a: -20 to -15 F
4122,10,5b: -15 to -10 F
4123,12,6b: -5 to 0 F
4124,9,5a: -20 to -15 F
4125,11,6a: -10 to -5 F
4126,10,5b: -15 to -10 F
4127,8,4b: -25 to -20 F
4128,10,5b: -15 to -10 F
4129,8,4b: -25 to -20 F
4130,10,5b: -15 to -10 F
4131,6,3b: -35 to -30 F
4132,8,4b: -25 to -20 F
4133,6,3b: -35 to -30 F
4134,8,4b: -25 to -20 F
4135,7,4a: -30 to -25 F
4136,6,3b: -35 to -30 F
4137,6,3b: -35 to -30 F
4138,6,3b: -35 to -30 F
4139,7,4a: -30 to -25 F
4140,7,4a: -30 to -25 F
4141,16,8b: 15 to 20 F
4142,16,8b: 15 to 20 F
4143,14,7b: 5 to 10 F
4144,14,7b: 5 to 10 F
4145,14,7b: 5 to 10 F
4146,13,7a: 0 to 5 F
4147,12,6b: -5 to 0 F
4148,12,6b: -5 to 0 F
4149,10,5b: -15 to -10 F
4150,11,6a: -10 to -5 F
4151,10,5b: -15 to -10 F
4152,12,6b: -5 to 0 F
4153,12,6b: -5 to 0 F
4154,11,6a: -10 to -5 F
4155,9,5a: -20 to -15 F
4156,11,6a: -10 to -5 F
4157,9,5a: -20 to -15 F
4158,12,6b: -5 to 0 F
4159,10,5b: -15 to -10 F
4160,11,6a: -10 to -5 F
4161,11,6a: -10 to -5 F
4162,10,5b: -15 to -10 F
4163,11,6a: -10 to -5 F
4164,10,5b: -15 to -10 F
4165,11,6a: -10 to -5 F
4166,11,6a: -10 to -5 F
4167,11,6a: -10 to -5 F
4168,10,5b: -15 to -10 F
4169,11,6a: -10 to -5 F
4170,8,4b: -25 to -20 F
4171,9,5a: -20 to -15 F
4172,10,5b: -15 to -10 F
4173,9,5a: -20 to -15 F
4174,8,4b: -25 to -20 F
4175,6,3b: -35 to -30 F
4176,8,4b: -25 to -20 F
4177,7,4a: -30 to -25 F
4178,6,3b: -35 to -30 F
4179,7,4a: -30 to -25 F
4180,7,4a: -30 to -25 F
4181,7,4a: -30 to -25 F
4182,7,4a: -30 to -25 F
4183,11,6a: -10 to -5 F
4184,11,6a: -10 to -5 F
4185,12,6b: -5 to 0 F
4186,10,5b: -15 to -10 F
4187,12,6b: -5 to 0 F
4188,12,6b: -5 to 0 F
4189,11,6a: -10 to -5 F
4190,9,5a: -20 to -15 F
4191,13,7a: 0 to 5 F
4192,10,5b: -15 to -10 F
4193,12,6b: -5 to 0 F
4194,12,6b: -5 to 0 F
4195,12,6b: -5 to 0 F
4196,11,6a: -10 to -5 F
4197,12,6b: -5 to 0 F
4198,10,5b: -15 to -10 F
4199,10,5b: -15 to -10 F
4200,10,5b: -15 to -10 F
4201,10,5b: -15 to -10 F
4202,10,5b: -15 to -10 F
4203,9,5a: -20 to -15 F
4204,12,6b: -5 to 0 F
4205,12,6b: -5 to 0 F
4206,11,6a: -10 to -5 F
4207,11,6a: -10 to -5 F
4208,11,6a: -10 to -5 F
4209,8,4b: -25 to -20 F
4210,8,4b: -25 to -20 F
4211,8,4b: -25 to -20 F
4212,7,4a: -30 to -25 F
4213,7,4a: -30 to -25 F
4214,6,3b: -35 to -30 F
4215,8,4b: -25 to -20 F
4216,8,4b: -25 to -20 F
4217,6,3b: -35 to -30 F
4218,6,3b: -35 to -30 F
4219,6,3b: -35 to -30 F
4220,7,4a: -30 to -25 F
4221,6,3b: -35 to -30 F
4222,7,4a: -30 to -25 F
4223,8,4b: -25 to -20 F
4224,7,4a: -30 to -25 F
4225,7,4a: -30 to -25 F
4226,5,3a: -40 to -35 F
4227,5,3a: -40 to -35 F
4228,6,3b: -35 to -30 F
4229,17,9a: 20 to 25 F
4230,16,8b: 15 to 20 F
4231,13,7a: 0 to 5 F
4232,12,6b: -5 to 0 F
4233,14,7b: 5 to 10 F
4234,14,7b: 5 to 10 F
4235,13,7a: 0 to 5 F
4236,13,7a: 0 to 5 F
4237,12,6b: -5 to 0 F
4238,12,6b: -5 to 0 F
4239,10,5b: -15 to -10 F
4240,12,6b: -5 to 0 F
4241,10,5b: -15 to -10 F
4242,13,7a: 0 to 5 F
4243,10,5b: -15 to -10 F
4244,12,6b: -5 to 0 F
4245,12,6b: -5 to 0 F
4246,12,6b: -5 to 0 F
4247,12,6b: -5 to 0 F
4248,10,5b: -15 to -10 F
4249,12,6b: -5 to 0 F
4250,11,6a: -10 to -5 F
4251,10,5b: -15 to -10 F
4252,11,6a: -10 to -5 F
4253,6,3b: -35 to -30 F
4254,8,4b: -25 to -20 F
4255,8,4b: -25 to -20 F
4256,8,4b: -25 to -20 F
4257,6,3b: -35 to -30 F
4258,6,3b: -35 to -30 F
4259,6,3b: -35 to -30 F
4260,6,3b: -35 to -30 F
4261,6,3b: -35 to -30 F
4262,8,4b: -25 to -20 F
4263,8,4b: -25 to -20 F
4264,6,3b: -35 to -30 F
4265,15,8a: 10 to 15 F
4266,13,7a: 0 to 5 F
4267,14,7b: 5 to 10 F
4268,12,6b: -5 to 0 F
4269,13,7a: 0 to 5 F
4270,13,7a: 0 to 5 F
4271,13,7a: 0 to 5 F
4272,12,6b: -5 to 0 F
4273,10,5b: -15 to -10 F
4274,10,5b: -15 to -10 F
4275,12,6b: -5 to 0 F
4276,12,6b: -5 to 0 F
4277,12,6b: -5 to 0 F
4278,9,5a: -20 to -15 F
4279,11,6a: -10 to -5 F
4280,11,6a: -10 to -5 F
4281,12,6b: -5 to 0 F
4282,11,6a: -10 to -5 F
4283,11,6a: -10 to -5 F
4284,11,6a: -10 to -5 F
