Potbelly ID,Distance To DMA(In Miles),Distance To Sysco(In Miles)
23325,60.6877,13.2371
23326,9.8325,9.7558
23327,13.2957,18.5960
23328,27.8178,5.2713
23329,10.8083,14.9287
23330,24.4076,28.6233
23331,13.9497,13.2033
23332,12.1888,7.3362
23333,15.6974,9.1349
23334,14.5448,18.7277
23336,34.1254,7.4341
23337,36.8210,7.6347
23338,29.0802,3.2950
23339,5.9910,10.9997
23341,12.2357,26.7630
23343,16.3408,28.0065
23344,27.2593,36.1404
23345,12.0766,7.7879
23346,26.6397,8.7329
23347,46.9371,19.6774
23348,13.7615,17.8112
23349,15.5121,18.6546
23350,15.1338,12.3345
23351,6.4338,9.6817
23352,15.8160,25.7576
23354,18.0172,20.6083
23355,38.1779,42.5415
23356,9.6125,11.4323
23357,9.3817,12.2483
23358,22.1281,2.0864
23359,67.9051,52.7463
23360,2.1074,4.7886
23361,28.5730,3.3919
23362,25.8762,9.3346
23363,13.8667,17.9535
23364,11.3982,18.2955
23365,6.4923,6.7809
23367,28.3488,3.8799
23368,14.9617,19.0512
23369,17.3964,10.8609
23370,24.6469,13.3524
23371,20.9331,25.2917
23372,29.7694,2.3364
23374,9.9778,13.0932
23375,7.9437,5.5591
23376,7.8324,12.1647
23377,17.2894,15.8905
23378,8.1623,2.6073
23379,28.3370,9.5411
23381,3.5922,33.1186
23382,13.7401,7.6033
23383,9.2851,12.3573
23384,15.2716,20.8434
23385,13.8475,17.7667
23386,18.1988,19.9445
23387,27.8912,4.0007
23388,61.9980,46.9528
23389,14.5144,18.5410
23391,13.0445,15.1470
23392,41.9338,6.0635
23393,12.2940,15.3941
23394,24.2527,32.0908
23395,28.7843,3.1247
23396,27.9018,2.3271
23397,28.4067,3.4881
23398,9.9897,13.8436
23399,84.4998,51.0455
23400,27.2915,31.3313
23401,106.9686,2.7352
23402,11.4974,15.2049
23403,103.5256,5.7327
23404,55.2210,17.0814
23405,28.6279,3.6638
23406,24.9246,12.9640
23407,103.3716,5.8510
23408,16.4716,3.9387
23409,104.8911,4.3882
23410,16.7606,9.5680
23411,29.6795,3.4427
23412,11.3968,0.8315
23155,104.4315,4.7928
23157,12.3810,13.4663
23158,20.6779,6.3001
23159,14.9980,5.4268
23161,65.0850,49.3163
23162,16.0402,14.1412
23163,8.0320,11.0423
23164,10.1238,3.6030
23165,8.1196,17.7299
23166,25.8875,6.6229
23167,16.2174,6.7055
23168,13.8303,23.5410
23169,9.0445,4.3230
23186,19.6157,16.8693
23187,7.3015,11.3753
23188,14.7274,31.5841
23189,9.0493,25.3284
23190,5.0000,2.5273
23191,32.5207,24.5983
71394,10.3737,8.5685
74387,54.1229,6.4118
74388,8.9056,8.8457
74389,32.6443,33.4038
74390,13.8217,17.8365
74391,8.1769,3.2223
74392,83.4641,88.5277
74393,20.6226,29.5893
74394,16.8311,7.8002
74395,49.3229,60.5180
74396,12.3439,8.2642
74397,18.2216,30.6899
74398,30.4118,20.2971
74399,32.4019,80.3177
74400,10.8419,12.9967
74401,29.5672,29.3282
74402,14.0442,17.9517
74403,12.6750,11.7323
74404,20.1222,28.4970
74405,15.7301,11.8487
74406,57.8974,31.2338
74407,14.3644,16.4894
74408,11.0321,43.2144
74439,6.9164,7.4091
74441,15.8650,17.5341
90127,121.9526,47.3409
90128,25.9930,8.9956
90129,23.4195,6.2316
90130,100.9150,8.7810
99685,7.2635,2.9015
124718,14.6915,19.0289
124719,95.1914,17.7735
124720,80.4154,65.9564
124721,108.7662,34.1597
137007,2.9431,31.9862
137044,9.3263,6.0378
147792,4.9100,50.7224
147793,26.0135,19.4764
147794,5.2454,4.3641
147795,111.9519,89.8234
161560,58.5757,3.3095
178748,71.0765,32.3425
178749,33.4762,37.1899
178750,8.2552,22.7347
74410,104.0080,5.2145
23413,59.9927,12.6571
23414,12.8091,14.9123
23415,13.3396,12.9176
23416,29.4116,2.6251
23417,29.9686,1.9472
23418,7.9317,5.9059
23419,15.7926,6.7767
23420,104.0537,5.1827
23421,119.1959,39.9485
23422,16.5953,15.7545
23423,11.6744,3.4957
23424,8.7696,10.3401
23425,106.5691,2.9278
23426,27.7666,4.1307
23427,29.6431,31.5015
23429,2.3634,12.0262
23430,106.8191,2.7690
23431,17.4533,20.7234
23432,47.8491,3.6973
23433,103.0717,6.1506
23434,4.2782,7.5610
23435,103.1471,6.0982
23436,61.0148,13.8318
23437,66.4335,20.1018
23438,61.9856,15.1205
23439,14.8751,9.3495
23441,28.8684,31.8885
23442,104.4831,4.7969
23443,107.3218,2.4216
23444,17.7480,26.2699
23445,2.4435,8.7666
23446,19.6645,18.8839
23447,27.9929,9.2666
23448,3.4428,9.1210
23449,28.2146,11.6757
23450,12.8418,15.0533
23451,28.0291,15.2133
23452,107.4788,1.7462
23453,107.0567,3.6503
23454,103.5612,5.6652
23455,28.7683,31.7635
23456,18.6655,14.5061
23457,37.5269,42.8874
23458,1.6216,21.0402
23460,12.7175,8.9993
23461,13.0108,5.0995
23462,9.9165,10.5144
23463,177.0269,163.1099
23464,17.5441,10.6302
59426,4.0856,7.4673
71393,10.3790,1.5606
178751,19.8056,16.4800
178752,40.7262,49.8759
178786,77.2441,30.9259
178787,36.1532,12.8057
178789,10.2451,11.9306
178790,90.6247,36.0369
178850,56.0034,9.9394
217238,18.8367,14.4469
217239,111.0687,96.4248
217240,1.4383,5.0974
234483,11.9442,11.4973
234484,5.5358,4.5500
234485,24.7352,29.0975
234486,2.3590,24.0944
234487,21.0339,25.3829
234488,22.2944,33.2514
234489,52.9562,51.6016
234490,19.2460,15.5968
234491,107.6926,109.8084
234492,9.2020,44.7053
234493,15.1802,21.0928
234494,21.2595,1.4101
234495,57.2597,7.9793
236044,20.4119,4.6279
296744,109.7740,14.7694
297405,74.0314,70.4650
297455,72.3141,21.3346
300524,135.8385,4.9293
300642,26.5398,157.7792
300643,34.7123,166.0177
300644,26.5864,157.6433
300756,15.5566,4.4859
303018,20.0888,21.5093
303683,6.7075,4.5025
305830,5.6193,4.3501
308382,12.0031,11.6441
310360,30.0902,25.0611
23107,58.5876,26.7400
23108,5.7324,4.5416
23109,15.9909,8.5230
23110,2.2767,30.2704
589971,48.6502,9.9836
